Object 1 Volume,Object 1 Grasping Length,"Object 1 Shape (Cuboid, Sphere, Cylinder)",Object 2 Volume,Object 2 Grasping Length,"Object 2 Shape (Cuboid, Sphere, Cylinder)",Remaining Workspace Volume after first grasp,Remaining Workspace Volume after both grasps
0.000215832,0.102,"[1, 0, 0]",7.2382e-06,0.064,"[0, 0, 1]",0.0066013610906084,0.0030736775139177
7.36222e-05,0.0,"[0, 1, 0]",0.000275857,0.112,"[0, 0, 1]",0.0066524207540845,0.0031272869826487
1.1494e-05,0.0,"[0, 1, 0]",1.3824e-05,0.024,"[1, 0, 0]",0.0066987475188567,0.0031332636245776
1.21642e-05,0.032,"[0, 0, 1]",6.43398e-05,0.08,"[0, 0, 1]",0.0067035836327501,0.0031333384673886
2.05795e-05,0.0,"[0, 1, 0]",5.79058e-05,0.0,"[0, 1, 0]",0.0066937443726577,0.0031331218728113
1.71573e-05,0.0,"[0, 1, 0]",1.1494e-05,0.0,"[0, 1, 0]",0.006696335490587,0.0031332200005338
1.1404e-05,0.03,"[0, 0, 1]",4.67218e-05,0.088,"[0, 0, 1]",0.0067029086652785,0.0031334003778188
1.71908e-05,0.038,"[0, 0, 1]",5.79058e-05,0.0,"[0, 1, 0]",0.0067021812286538,0.0031333177695776
2.05795e-05,0.0,"[0, 1, 0]",8.1648e-05,0.028,"[1, 0, 0]",0.0066936959884684,0.0031330449319106
1.52e-05,0.038,"[1, 0, 0]",6.1073e-06,0.054,"[0, 0, 1]",0.0067009602544192,0.0031323229022393
0.00010584,0.06,"[1, 0, 0]",0.000158112,0.122,"[1, 0, 0]",0.0066355198569894,0.0031121671228726
3.456e-06,0.024,"[1, 0, 0]",2.26195e-05,0.072,"[0, 0, 1]",0.0067043510889973,0.0031334229257816
1.24407e-05,0.11,"[0, 0, 1]",9.19523e-05,0.0,"[0, 1, 0]",0.0067047846819073,0.0031332237092053
3.35103e-05,0.0,"[0, 1, 0]",4.1888e-06,0.0,"[0, 1, 0]",0.0066846933944623,0.0031321782329914
0.0003117654,0.118,"[0, 0, 1]",5.78e-05,0.05,"[1, 0, 0]",0.0065843960867635,0.0031106483465771
3.69954e-05,0.046,"[0, 0, 1]",2.01753e-05,0.038,"[0, 0, 1]",0.0066932185411471,0.0031327974227644
1.88496e-05,0.06,"[0, 0, 1]",1.8432e-05,0.072,"[1, 0, 0]",0.0067022850945178,0.0031332100769614
5.79058e-05,0.0,"[0, 1, 0]",6.1073e-06,0.024,"[0, 0, 1]",0.006667590255939,0.0031295429201211
3.53429e-05,0.018,"[0, 0, 1]",6.4e-05,0.04,"[1, 0, 0]",0.0066984218412305,0.0031320055442516
